"table_name","column_name","data_type"
"cscf_controls","id","integer"
"cscf_controls","document_id","integer"
"cscf_controls","control_number","integer"
"cscf_controls","control_title","text"
"cscf_controls","created_at","timestamp without time zone"
"cscf_controls","updated_at","timestamp without time zone"
"cscf_documents","id","integer"
"cscf_documents","framework","text"
"cscf_documents","version","text"
"cscf_documents","publication_date","date"
"cscf_documents","total_controls","integer"
"cscf_documents","mandatory_controls","integer"
"cscf_documents","advisory_controls","integer"
"cscf_documents","created_at","timestamp without time zone"
"cscf_documents","updated_at","timestamp without time zone"
"cscf_sub_controls","id","integer"
"cscf_sub_controls","control_id","integer"
"cscf_sub_controls","sub_control_number","text"
"cscf_sub_controls","sub_control_title","text"
"cscf_sub_controls","control_type","text"
"cscf_sub_controls","applies_to_architecture","jsonb"
"cscf_sub_controls","control_objective","text"
"cscf_sub_controls","in_scope_components","jsonb"
"cscf_sub_controls","risk_drivers","jsonb"
"cscf_sub_controls","impl_control_statement","text"
"cscf_sub_controls","impl_control_context","text"
"cscf_sub_controls","implementation_guidelines","jsonb"
"cscf_sub_controls","optional_enhancements","jsonb"
"cscf_sub_controls","alternative_implementations","text"
"cscf_sub_controls","created_at","timestamp without time zone"
"cscf_sub_controls","updated_at","timestamp without time zone"
"document_entities","doc_id","uuid"
"document_entities","entity_id","uuid"
"document_framework_links","doc_id","uuid"
"document_framework_links","framework_id","uuid"
"document_metadata","metadata_id","uuid"
"document_metadata","doc_id","uuid"
"document_metadata","language","character varying"
"document_metadata","publisher","character varying"
"document_metadata","external_reference","character varying"
"document_metadata","created_date","timestamp without time zone"
"document_metadata","last_updated_date","timestamp without time zone"
"document_repository","doc_id","uuid"
"document_repository","doc_ref_id","character varying"
"document_repository","doc_name","character varying"
"document_repository","doc_category","character varying"
"document_repository","doc_format","character varying"
"document_repository","review_frequency","character varying"
"document_repository","version_number","character varying"
"document_repository","status","character varying"
"document_repository","classification","character varying"
"document_repository","created_date","date"
"document_repository","last_updated_date","date"
"document_repository","upload_date","timestamp without time zone"
"document_repository","upload_status","character varying"
