Framework_ID,Framework_Code,Framework_Name,Framework_Version,Framework_Regulator,Framework_Jurisdiction,Domain_ID,Domain_Code,Domain_Name,Domain_Description,Objective_ID,Objective_Code,Objective_Name,Objective_Description,Control_ID,Control_Code,Control_Name,Control_Statement,Control_Objective,Control_Is_Mandatory,Control_Risk_Category,Control_Evidence_Type,Control_Implementation_Guidance,Control_Testing_Guidance,SubControl_ID,SubControl_Code,SubControl_Name,SubControl_Statement,SubControl_Description
19,BS-,Basel Committee - Framework,2.4,Basel,EU,92,BS--C,Compliance,Controls related to Compliance,317,BS--C-PS,Prudential Supervision,Objective for Prudential Supervision,706,FW-008-001,Consolidated Supervision of Internationally Active Banks,Supervisors must apply the Basel Framework on a consolidated basis to internationally active banks to ensure comprehensive risk assessment and to prevent regulatory arbitrage.,This framework will be applied on a consolidated basis to internationally active banks. Consolidated supervision is the best means to provide supervisors with a comprehensive view of risks and to reduce opportunities for regulatory arbitrage.,Yes,security,policy,Originally from: Basel Committee - Framework,,,,,,
19,BS-,Basel Committee - Framework,2.4,Basel,EU,92,BS--C,Compliance,Controls related to Compliance,317,BS--C-PS,Prudential Supervision,Objective for Prudential Supervision,708,FW-008-003,Application to Banking Groups,"The Basel Framework shall also apply to all internationally active banks at every tier within a banking group, on a fully consolidated basis, or as an alternative through stand-alone application with full capital deductions of subsidiaries.","The framework will also apply to all internationally active banks at every tier within a banking group, also on a fully consolidated basis... as an alternative to full sub-consolidation, the application of this framework to the stand-alone bank (ie on a basis that does not consolidate assets and liabilities of subsidiaries) would achieve the same objective, providing the full book value of any investments in subsidiaries and significant minority-owned stakes is deducted from the bank’s capital.",Yes,security,policy,Originally from: Basel Committee - Framework,,,,,,
19,BS-,Basel Committee - Framework,2.4,Basel,EU,92,BS--C,Compliance,Controls related to Compliance,321,BS--C-CT,Capital Treatment,Objective for Capital Treatment,712,FW-008-007,Capital Exclusion of Significant Minority Investments,Equity and regulatory investments in significant minority stakes must either be deducted or consolidated on a pro-rata basis based on national regulatory frameworks.,"Significant minority investments in banking, securities and other financial entities, where control does not exist, will be excluded from the banking group’s capital by deduction of the equity and other regulatory investments... Alternatively, such investments might be, under certain conditions, consolidated on a pro-rata basis. For example, pro rata consolidation may be appropriate for joint ventures or where the supervisor is satisfied that the parent is legally or de facto expected to support the entity on a proportionate basis only and the other significant shareholders have the means and the willingness to proportionately support it.",Yes,security,policy,Originally from: Basel Committee - Framework,,,,,,
19,BS-,Basel Committee - Framework,2.4,Basel,EU,93,BS--G,Governance,Controls related to Governance,318,BS--G-OR,Organizational Risk,Objective for Organizational Risk,707,FW-008-002,Scope of Consolidation for Parent Holding Companies,The scope of the Basel Framework must include any holding company that is the parent entity within a banking group to capture the risks of the entire group.,"The scope of application of the framework will include, on a fully consolidated basis, any holding company that is the parent entity within a banking group to ensure that it captures the risk of the whole banking group.",Yes,security,policy,Originally from: Basel Committee - Framework,,,,,,
19,BS-,Basel Committee - Framework,2.4,Basel,EU,93,BS--G,Governance,Controls related to Governance,320,BS--G-EM,Entity Management,Objective for Entity Management,710,FW-008-005,Mandatory Consolidation of Financial Entities,"All majority-owned or controlled financial entities, including banking and securities entities, must be fully consolidated unless specific regulatory exclusions apply.","To the greatest extent possible, all banking and other relevant financial activities (both regulated and unregulated) conducted within a group containing an internationally active bank will be captured through consolidation. Thus, majority-owned or -controlled banking entities, securities entities (where subject to broadly similar regulation or where securities activities are deemed banking activities) and other financial entities should generally be fully consolidated.",Yes,security,policy,Originally from: Basel Committee - Framework,,,,,,
19,BS-,Basel Committee - Framework,2.4,Basel,EU,93,BS--G,Governance,Controls related to Governance,322,BS--G-SI,Systemic Importance,Objective for Systemic Importance,713,FW-008-008,G-SIB Higher Loss Absorbency Allocation,Global systemically important banks (G-SIBs) must be allocated into buckets of systemic importance with corresponding higher loss-absorbency requirements.,"Each year, the Committee runs the assessment and, if necessary, reallocates G-SIBs into different categories of systemic importance based on their scores and supervisory judgment. G-SIBs are allocated into equally sized buckets based on their scores of systemic importance, with varying levels of higher loss absorbency requirements applied to the different buckets.",Yes,security,policy,Originally from: Basel Committee - Framework,,,,,,
19,BS-,Basel Committee - Framework,2.4,Basel,EU,94,BS--R,Risk,Controls related to Risk,319,BS--R-CA,Capital Adequacy,Objective for Capital Adequacy,709,FW-008-004,Capital Adequacy Testing for Individual Banks,Supervisors should verify that individual banks are adequately capitalized on a stand-alone basis in addition to consolidated capital adequacy requirements.,"Further, to supplement consolidated supervision, it is essential to ensure that capital recognised in capital adequacy measures is adequately distributed amongst legal entities of a banking group. Accordingly, supervisors should test that individual banks are adequately capitalised on a stand-alone basis.",No,security,policy,Originally from: Basel Committee - Framework,,,,,,
19,BS-,Basel Committee - Framework,2.4,Basel,EU,94,BS--R,Risk,Controls related to Risk,319,BS--R-CA,Capital Adequacy,Objective for Capital Adequacy,711,FW-008-006,Supervisory Actions for Non-Consolidated Entities,"If subsidiaries are not consolidated for capital purposes, supervisors must ensure regulatory compliance for standalone capital adequacy and monitor corrections of capital shortfalls.","If any majority-owned securities and other financial subsidiaries are not consolidated for capital purposes, all equity and other regulatory capital (or, if applicable, other total loss-absorbing capacity) investments in those entities attributable to the group will be deducted... Supervisors will ensure that an entity that is not consolidated and for which the capital investment is deducted meets regulatory capital requirements. Supervisors will monitor actions taken by the subsidiary to correct any capital shortfall and, if it is not corrected in a timely manner, the shortfall will also be deducted from the parent bank’s capital.",Yes,security,policy,Originally from: Basel Committee - Framework,,,,,,
14,CBB,CBB Cyber Security Framework,2023,Central Bank of Bahrain,Bahrain,69,CS-1,Cybersecurity Governance,,279,CS-1.1,Governance Framework,,624,CS-1.1.1,Board oversight,The Board shall approve the cybersecurity strategy and provide oversight.,Ensure proper board oversight,Yes,strategic,report,,,1604,CS-1.1.1.a,Establish IT governance,Establish IT governance framework aligned with business objectives.,Establish IT governance framework aligned with business objectives.
14,CBB,CBB Cyber Security Framework,2023,Central Bank of Bahrain,Bahrain,69,CS-1,Cybersecurity Governance,,279,CS-1.1,Governance Framework,,624,CS-1.1.1,Board oversight,The Board shall approve the cybersecurity strategy and provide oversight.,Ensure proper board oversight,Yes,strategic,report,,,1605,CS-1.1.1.b,Define IT strategy,Define and maintain IT strategy.,Define and maintain IT strategy.
